src,tgt
A rook is a chess piece.,룩은 체스 말 중 하나야.
"The word ""rook"" comes from Sanskrit and means ""chariot"".","""룩""이란 단어는 산스크리트어에서 유래했고, ""마차""란 뜻이야."
This is a Turkish tradition.,이건 터키 전통이야.
We have many varieties of coffee.,우리는 다양한 종류의 커피를 구비하고 있어.
Parks are ideal for writing.,공원은 글을 쓰기 딱 좋은 곳이야.
This is the law of the jungle.,이것이 정글의 법칙이야.
"The mythical Kraken, thick as a ship and three times as wide, once made an attack on Christopher Columbus's fleet... giving Columbus no choice but to eat him.","크리스토퍼 콜럼버스의 배만큼 두껍고 세 배나 넓은 크기를 가진 신화 속 괴물인 크라켄은 그의 함선을 공격했고, 결국 콜럼버스는 그 괴물을 먹을 수 밖에 없었어."
Education is the key to success.,교육이야말로 성공으로 가는 길이야.
Either one of us will be chosen.,우리 중 하나가 선택될꺼야.
Customer satisfaction is our number one priority.,우리는 고객의 만족을 위해서 최선을 다한다.
I want to visit Korea.,나는 한국에 들르고 싶다.
What are you doing right now?,지금 뭐하는 건데요?
Lyusya decided to give up on everything and leave for Siberia.,류샤는 모든 것을 포기하고 시베리아에 가기로 했다.
He was really gung-ho when he started at the gym but after a few months he started slacking off and then stopped coming altogether.,그는 처음 헬스클럽에 갔을때는 정말 열심이었지만 몇 달이 지난후 게으름을 피우기 시작했고 결국 관두고 말았다.
I don't like eggs.,난 계란이 싫어.
I have a lot of dreams.,전 많은 꿈을했습니다.
The Secretary General is making a last-ditch effort to negotiate a peace treaty between the two warring factions.,사무총장은 전쟁 중인 두 파벌 간에 평화조약을 협상하기 위해서 필사적으로 노력하고 있다.
"Santa Claus, I want to receive a girlfriend for Christmas.","산타 할아버지, 크리스마스 선물로 여자친구를 받고 싶어요"
We want complete sentences.,우리는 완전한 문장을 원합니다.
"Don't change sentences that are correct. You can, instead, submit natural-sounding alternative translations.",정확한 문장을 수정하지 마십시오. 대신 당신은 자연스럽게 들리는 다른 번역문을 제출할 수 있습니다.
Don't add sentences from copyrighted sources.,저작권이 있는 출처의 문장을 추가하지 마십시오.
"We want natural-sounding translations, not word-for-word direct translations.","우리는 자연스럽게 들리는 번역문을 원하며, 단어 대 단어로 직역한 번역문을 원하지 않습니다."
Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.,당신이 번역할 문장에 충실하게 번역하십시오. 다른 언어로 번역된 문장의 영향을 받지 마십시오.
"Your fine, curly hair looks as appetizing as glass noodles.","너의 얇고, 곱슬곱슬한 머리카락은 당면만큼 식욕을 돋우어."
"When I last saw him, he was wearing a blue shirt and white slacks.",마지막으로 그를 봤을때 그는 파란 셔츠에 흰색 바지를 입고 있었다.
"We know it's difficult, but please don't translate literally.","어렵다는건 알지만, 문어체로 번역하지 마세요."
The priest made the sign of the cross as the casket was lowered into the ground.,관이 땅속으로 내려질 때 목사님께서 성호를 그으셨다.
"Cut him some slack, John. It's his first day on the job.","너무 다그치지말고 여유를 좀 줘봐, 오늘이 처음 일하는 날이잖아."
This is a bit too loose around my waist.,이건 허리가 좀 너무 크네.
"Take your fucking hands off me, you bastard!","그 망할 손 치워, 후레자식아!"
"Take your fucking hands off me, you bastard!","나한테서 손 떼, 이 새끼야."
We'll meet at 3:00 p.m.,우리는 3시에 만난다.
Tom's explanation was too complex.,톰은 너무 복잡하게 설명해.
Every house on our street was blue except ours.,우리 집을 제외하고는 우리 집이 있는 거리의 모든 집들이 모두 파란색이다.
The tire factory employs 250 people.,그 타이어 공장은 250명을 고용한다.
I smell gas.,가스 냄새가 난다.
"About 65% of American adults are overweight, which isn't good for their health.",미국 성인은 약 65퍼센트가 비만이고 그건 그들의 건강에 좋지 않다.
Earth is a planet.,지구는 하나의 행성입니다.
There are more than six billion people in the world.,지구상의 인구는 60억 이상이야.
I'm waiting for her to come here.,나는 그녀를 기다리고 있어요.
It's very hot today.,오늘은 날씨가 매우 덥다.
Where is he?,그 사람 어디 있지?
Where is he?,그분은 어디에 겨십니까?
Colorless green ideas sleep furiously.,색깔없는 녹색의 관념은 분노하며 잠잔다.
"Sentences bring context to the words. Sentences have personalities. They can be funny, smart, silly, insightful, touching, hurtful.",문장은 단어들의 맥락을 제공한다. 문장은 개성을 가지고 있다. 재밌기도 하고 영리하기도 하며 바보 같음과 통찰력도 가지기도 하고 감동과 상처를 주기도 한다.
"You doubt, so you exist.",나는 생각한다. 고로 나는 존재한다.
"The sooner you do it, the better it is.",더 빨리할수록 좋다.
How many letters does the Russian alphabet have?,러시아어 알파벳은 몇 개의 글자로 되어 있어요?
He is also studying Chinese.,그도 중국어를 공부하고 있다.
"Carbon dioxide is a gas that is produced every time a fuel such as coal, oil, or natural gas is burned.","이산화탄소는 석탄, 석유, 천연가스 같은 연료를 태울 때마다 나오는 기체이다."
One who doesn't take risks will not win.,"전혀 위험을 감수하지 않으면, 아무 것도 얻을 수 없다."
Shall we dance a bit?,같이 춤 좀 출까요?
"It's already evening, I'm tired and have to finish writing. Good night!",벌써 저녁이네. 피곤해서 글쓰기는 그만 끝내야겠다. 잘자!
"Yesterday, I bought a book.",어제 저는 책을 샀어요.
My favorite singer is Kylie Minogue.,내가 좋아하는 가수는 카일리 미노그야.
My favorite singer is Kylie Minogue.,내가 좋아하는 가수는 카일리 미노그입니다.
I am not deaf.,나는 귀먹지 않았어.
I felt bad.,난 기분이 나빴다.
Why do you lie?,왜 거짓말을 해요?
Father is a good person.,아버지는 좋은 사람입니다.
Tell me how long that boy has been sitting there.,저 남자 아이가 저기에 얼마나 오래 앉아 있었는지 얘기 좀 해줘.
They saw an authoriy in him.,그들은 그에게서 권위를 보았다.
I hugged him tightly and cried.,내가 그를 꽉 안아서 울었다.
"I wanted to phone you, but I thought you wouldn't get it so I didn't phone you in the end.","너에게 전화를 걸고 싶었는데, 너가 안 받을까봐 결국 전화 못했어."
"Tonight in the night sky, the stars are shining very brightly.",오늘 밤 하늘에는 별들이 아주 밝게 빛나고 있어.
I often read books.,저는 자주 책을 읽습니다.
Sometimes I wonder when the first world championship in cyberbullying will take place.,가끔 나는 언제 세계 제 일회 사이버 폭력 챔피언 대회가 열릴지 궁금해한다.
What is the capital of Haiti?,아이티의 수도는 이름이 무엇입니까?
He was ambassador to the United Nations.,그는 유엔 대사 였습니다.
The British captured Breed's Hill.,영국은 브리즈 힐을 함락시켰다.
"In 1950, North Korea invaded South Korea.","1950년에, 북한은 남한을 침공했다."
We suggest raising the fees.,우리는 요금을 올릴 것을 제안합니다.
You have to take the bull by the horns.,황소를 잡을 때는 뿔 부분을 잡아야 한다.
"To the chagrin of many Western composers, steel drums, or steelpans, tend not to be fully chromatic.",많은 서양 작곡가들에게 유감스럽게도 스틸 드럼과 스틸 팬 드럼은 완벽한 반음계가 아니다.
The others can't be bothered.,다른 사람을 귀찮게 할 수 있다.
It started to rain.,비가 오기 시작했어.
I don't like teachers who like students who don't like asking questions.,나는 질문을 좋아하지 않는 학생을 좋아하는 선생님을 좋아하지 않아.
This is no accident.,이건 사고가 아냐.
Lawyers are all liars.,변호사들은 모두 거짓말쟁이다.
The murderer confessed his crime.,살인자는 살인을 자백했다.
Her right eye is blind.,그녀는 오른쪽 눈이 멀었다.
"The cow goes ""moo,"" the rooster goes ""cock-a-doodle-doo,"" the pig goes ""oink, oink,"" the duck goes ""quack, quack"" and the cat goes ""meow.""","소는 ""음메"", 닭은 ""꼬꼬댁 꼬꼬"", 돼지는 ""꿀꿀"", 오리는 ""꽥꽥"", 고양이는 ""야옹""."
I don't have money.,나는 돈이 없어.
The Mona Lisa was painted by Leonardo da Vinci.,모나리자는 레오나르도 다빈치가 그렸어.
I became a woman.,저는 여자가 됐어요.
I became a woman.,나는 여자가 됐어.
He shaves himself every day.,그는 매일 면도한다.
She asked him if he was happy.,그녀는 그에게 행복하냐고 물었다.
"She asked him to help her father clean the garage, but he said that he was too busy to help.",그녀는 그한테 그녀의 아버지가 차고 청소 하는 것을 도와 주라고 했지만 그는 너무 바빠서 못 도와 준대.
"She kissed me, not him.","그가 아니라, 그녀가 나에게 키스를 했다."
She lives with him in a small apartment.,그녀는 작은 아파트에서 그와 함께 살고 있어요.
Do not tell me what to do.,이래라 저래라 하지 마세요.
I'm anxious whether I'll do well at this new job.,나는 새 직장에서 잘 할 수 있을지 걱정이다.
"Wow, that's so big.",와! 정말 크다.
I want to die with Getter Jaani.,나는 겟테르 야니랑 죽고 싶다.
He attempted suicide.,그는 자살을 시도했다.
"She said that a good gin and tonic is like summertime in a glass, and it struck me as being too true.","그녀는 고급 진과 토닉 한 잔은 여름과도 같다고 했다, 그리고 그것은 나에게 진실함을 느끼게 해주었다."
Please forget what we talked about earlier.,우리가 전에 한 말은 그냥 잊어버려.
Her dress attracted everyone's attention at the party.,그 여자가 파티에 입고 온 드레스가 사람들의 눈길을 끌었지.
Should I tell him?,그에게 내가 말해야 하나?
It is difficult to replace an employee that is as qualified as he is.,그 사람만큼 자격을 갖춘 직원은 대체하기가 어렵다.
Unfortunately I must decline your invitation.,유감스럽게도 저는 당신의 초대를 거절해야 합니다.
They go to watch a play once every month.,그들은 매월 한 번씩 연극을 보러 간다.
Would it suffice if I came around 7?,내가 7시경에 오면 되겠습니까?
The prices of raw materials such as oil or coal continue to rise.,기름이나 석탄과 같은 원자재의 가격이 계속 상승하고 있다.
"A word is not a crystal, transparent and unchanging, it is the skin of a living thought and may vary greatly in colour and content according to the circumstances and time in which it is used.",한 단어는 수정처럼 투명한 변하지 않는게 아니라 의미의 한 표현일 뿐이며 사용되는 상황과 시간에 따라서 매우 다양하게 변화 될수 있다.
A journey of a thousand miles starts with a single step.,천리길도 한 걸음부터.
"In Austria, you have to pay to use the highway.",오스트리아에서는 고속도로 사용을 위해서 통행료를 지불해야 한다.
Industrial emissions cause air pollution.,공업 배기가스가 공기를 오염시킨다.
Kids are building sand castles on the beach.,아이들은 바닷가에서 모래로 성을 쌓고 있다.
I left the car in the garage.,자동차를 차고에 놓어두었다.
You are not an idiot!,너 바보 아냐!
I work at the supermarket on the weekends.,주말에 나는 슈퍼에서 아르바이트한다.
Please turn the music down a bit.,음악 소리를 좀 줄이세요.
The wound bled.,상처에서 피가 흘렀다.
"Excuse me, but I'm looking for the post office.","실례합니다만, 우체국을 찾고 있습니다."
I have cut my finger.,나는 손가락을 베었다.
When is the next guided tour?,다음 관광 여행이 언제예요?
I think it will storm soon.,폭풍이 불 것이라고 생각한다.
"Once you've caught the fish, you no longer need the bait.",물고기를 잡은다음애는 미끼가 필요없어.
They love each other deeply.,그들은 서로 몹시 사랑한다.
I like that person.,나는 그 사람을 좋아한다.
Speak a little louder.,좀더 크게 말해라.
I cannot stand this noise.,나는 이 소음을 참을 수 없다.
Please take a deep breath.,숨울 깊이 들이마십시오.
"The translation was made in favour of readability and literary style, as opposed to a more faithful one for the Russophonic readers' understanding.",원문에 충실하기 보다는 노어권 독자의 이해를 위해 가독성과 작품성을 고려하며 번역했다.
It is a difficult task to make the history of political power struggles during the Joseon Dynasty culturally understandable to foreign readers.,조선왕조의 당쟁사가 문화적으로 외국 독자에게 이해되게 하기는 어려운 과제이다.
Portugal has only one neighbor and it's Spain.,포르투갈은 이웃이 하나 있고 그건 스페인이다.
I want to go to the moon.,나는 달에 가고 싶다.
The snow melted in the sun.,눈은 햇빛에 녹았다.
"He speaks not only Spanish, but also French.","그는 스페인어뿐만 아니라, 프랑스어도 말한다."
The clothes horse is always in the way!,그 빨래 건조대는 항상 걸리적거린다.
"If your spouse is a politician, then likely your name will also appear in the newspaper from time to time.",당신의 배우자가 정치인이라면 당신의 이름 또한 신문에 종종 나올겁니다.
It is too risky.,위험 부담이 크다.
One must not abuse animals.,동물을 학대해서는 안 된다.
What'll you do after graduation?,졸업 후에 무엇을 할래?
If I were in your position I wouldn't do that job.,네 입장이라면 나는 그 일을 하지 않겠다.
Two times seven is fourteen.,2 곱하기 7의 결과는 14이다.
Could you please tell me again where you put the key?,키를 어디다 뒀는지 다시 얘기해 주시겠어요?
Have you ever donated blood?,헌혈해 본 적이 있니?
I should have listened more carefully.,내가 좀 더 귀기울여 들었어야 했는데.
"In this course, we'll spend time helping you sound more like a native speaker.",이 수업에서 저희는 여러분들 발음이 좀 더 원어민처럼 들릴 수 있도록 돕는데 시간을 보내겠습니다.
Let's hear the rest of the story.,이야기를 마저 들어보자.
Let's hear the rest of the story.,이야기를 마저 들어 봅시다.
What kind of work do you do?,어떤 종류의 일을 하세요?
Why don't you leave me alone?,날 좀 가만히 내버려 둬.
My apartment is quiet and clean.,우리 아파트는 조용하고 깨끗해요
Canada is really big and there are lots of people.,카나다는 너무 크고 사람이 많아요.
Friends come back to the library to study.,친구는 도서관에 공부하러 와요
What time do you usually eat breakfast?,보통 몇 시에 아침에 드셔요?
"You had a good weekend, didn't you?",주말에 잘 보냈죠?
I don't exercise a lot these days.,요즘에는 운동을 별로 안 해요.
Yumi keeps getting better at Korean.,유미 씨는 갈수록 한국어를 잘 해요.
John is at the airport.,존이 공항에 있어요.
How much is it per box?,한 상자에 얼마예요?
Write the address and the home phone number.,주소하고 집 전화 번호를 쓰세요.
Andrew meets Linda at school.,앤드류가 학교에서 린다를 만나요.
I gave the milk to the cat.,고양이한테 우유를 줬어요.
I sent this letter to grandfather.,이 편지를 할아버지께 보냈습니다.
Only Naoko drinks coffee.,나오꼬만 커피를 마셔요.
Eve drinks only coffee.,이부가 커피만 마셔요.
I only study in the library.,나는 도서관에서만 공부해요.
I'll watch TV at home or something.,집에서 TV나 볼 거예요.
Lets play video games or something.,비디오 게임 이나 해요.
About how many hours does it take by car?,차로 몇 시간이나 걸려요?
I can't drink coffee.,커피를 못 마십니다.
I want to learn Korean.,한국어를 배우고 싶어요.
Friends come back to the library to study.,친구는 도서관에 공부하러 돌아와요.
I want to meet the teacher.,선생님을 만나고 싶어요.
I want to eat Korean food.,한국 음식을 먹고 싶어요.
What kind of movie do you want to watch?,무슨 영화를 보고 싶어요?
What do you want to eat this weekend?,이번 주말에 뭐 먹고 싶어요?
Does Jenny want to go home?,제니가 집에 가고 싶어해요?
Does John want to see a Korean movie?,존이 한국 영화를 보고 싶어해요?
I wanted to read a book.,책을 읽고 싶었어요
I wanted to go to China.,중국에 가고 싶었어요
Peter wanted to become a doctor.,피터는 의사가 되고 싶어했어요.
Thomas is watching a movie.,토마스가 영화를 보고 있어요
Jessica was singing a song.,제시카가 노래를 부르고 있었어요.
The professor is making a phone call.,교수님이 전화를 하고 계세요.
Mom is making a cake.,어머니가 케이크를 만들고 계세요.
I will probably get up early tomorrow.,내익 일찍 일어날 거예요.
I will probably get up early tomorrow.,아마 내일 일찍 일어날 거예요.
I wonder what I should make for dinner.,저녁은 뭘 만들까요?
Which university do you think Ted will go to?,테드가 어느 대학을 갈까요?
Which university do you think Ted will go to?,테드가 어느 대학을 갈거라고 생각하세요?
Over my dead body shall I witness such a shameful sight.,내 눈에 흙이 들어가기 전까지는 그런 꼴 못 보오이다!
I'm also thinking of going to Korea.,저도 한국에 갈까 해요
I'm thinking of having dinner at 5.,저녁을 5 시에 막을까 해요.
Maybe he will arrive tonight.,아마 오늘 밤에 도착할 거예요.
Please do not write in this library book.,도서관 책에 낙서를 하지 마십시오.
Learning Korean is difficult.,한국말을 배우기가 힘들죠.
Where is the logic in that?,거기에 논리가 어디 있지?
I am losing my focus.,집중력이 점차 떨어진다.
I swim almost every day.,수영을 거의 매일 합니다.
How many letters are there in the English alphabet?,영어 알파벳은 몇 개의 글자로 되어 있습니까?
Can you prove the allegations?,주장을 증명할 수 있습니까?
He sounded very tired on the phone.,그의 목소리는 전화에서 매우 피곤하게 들렸다.
Grammar is very complicated.,문법은 매우 복잡하다.
The blue roses are very beautiful.,파란 장미는 아주 아름답습니다.
That cat is brown.,저 고양이가 갈색입니다.
Do you know her father?,당신은 그녀의 아버지를 알고 있나요?
I'm in Portugal.,나는 포르투갈에 있어.
I want to go to Korea.,한국에 가고 싶어요.
She is in a very good mood.,그녀는 기분이 아주 좋다.
I'm a Japanese language teacher.,난 일어 교사다.
Five plus two equals seven.,5 더하기 2는 7이다.
She has a very good voice.,그녀는 목소리가 아주 좋다.
I exercise for two hours every day.,나는 매일 2시간 동안 운동을 한다.
Her eyes welled up with tears.,그녀의 눈에 눈물이 고였다.
What is the difference between Iaido and Kendo?,검도와 거합도는 뭐가 다르죠?
It is said that people could live comfortably if the nation is ruled with virtue.,"덕으로 나라를 다스리면, 백성들이 편안히 잘살 수 있다고 했습니다."
Not as easy as I thought.,생각보다 쉽지 않군.
Yesterday I ate too much and now I feel sick.,어제 너무 많이 먹어서 이제 난 병이 나요.
Tom told his friends that he never ate meat.,톰은 친구들에게 고기를 먹은 적이 한 번도 없다고 했다.
Tom should take an umbrella because it looks like rain.,비가 오는 것 같으니 톰은 우산을 갖고 가는 게 좋을 것이다.
Tom sat in the front row.,톰은 앞 줄에 앉았다.
Tom may use my video camera if he wants to.,탐은 내 비디오 카메라를 쓰고 싶으면 쓸 수 있다.
Tom hasn't finished his homework yet.,톰은 아직 숙제를 안 했다.
Tom has three children.,톰은 애들이 3명 있다.
Tom finally got a job.,톰은 마침내 일자리를 구했다.
Tom couldn't hold back his anger.,톰은 화를 참을 수 없었다.
Tom coughed up some blood.,톰은 조금의 피를 토해냈다.
Tom considered changing his job.,톰은 직업을 바꾸는 것을 고려했다.
Tom told Mary not to swim there.,톰은 매리한테 거기서 수영하지 말라고 말했다.
Tom noticed a change in Mary.,톰은 메리의 변화를 눈치챘다.
Tom hurt Mary's feelings.,톰은 메리의 감정을 상하게 했다.
Tom gave Mary some advice on how to pass multiple-choice tests.,탐은 메리에게 선다형 시험에 통과하는 방법에 대해 조언했다.
Tom did the dishes for Mary.,탐을 메리를 위해서 설거지를 했다.
Mary is Tom's older sister.,메리가 톰의 누나다.
I like the Occitan language.,내가 사랑 오크어 언어입니다.
The field is full of wild flowers.,그 밭은 들꽃이 가득하다.
Let's cut Tom some slack.,탐에게 여유를 좀 주자.
Close the fucking door!,그 망할 문 닫아라!
It smells like gas.,가스 냄새가 난다.
Do you know this song?,이 노래 알아?
Take the medicine.,그 약을 먹으세요.
Is there a pharmacy nearby?,이 근처에 약국 있어요?
What in the world do you think you're doing?,세상에 네가 뭘 하고 있다고 생각하는 거니?
He had a talent for painting.,그는 그림에 재능이 있었다.
Language opens worlds.,언어는 세계를 연다.
Natasha is a Russian name.,나타샤는 러시아 이름이다.
Tom went to Korea as a Christian missionary.,톰은 선교사로서 한국에 갔다.
Tom wanted to know where Mary had been.,탐은 메리가 어디에 있었는지 알고 싶었다.
Tom should be here within fifteen minutes.,톰은 십오분 안에 여기에 있어야 해.
Tom lost his eyesight.,톰은 시력을 잃어버렸다.
Tom kicked the ball really hard.,톰은 정말 세게 공을 찼다.
Tom kicked the ball really hard.,톰은 정말 세게 공을 찼습니다.
Tom generally takes the bus to work.,톰은 보통 버스를 타고 일하러 간다.
Tom filled the wheelbarrow with sand.,톰은 외바퀴 손수레를 모래로 채웠다.
Tom doesn't know what he'll do.,톰은 그가 뭘 해야 할지 모른다.
Tom didn't know Mary had a brother.,Tom은 Mary가 남동생이 있는 줄 몰랐어.
Tom didn't know Mary had a brother.,톰은 메리한테 남동생이 있는지 몰랐어.
Tom didn't cut Mary any slack.,탐은 메리에게 아무런 기회도 주지 않았다.
Tom didn't ask for our opinions.,탐은 우리에게 의견을 물어 보지 않았다.
Tom currently lives alone in a small apartment.,탐은 현재 작은 아파트에서 혼자 살고 있다.
Tom changed his mind at the last minute.,톰은 마지막 순간에 마음을 바꿨다.
Tom certainly has the right temperament for the job.,톰이 이 일에는 성격이 잘 맞습니다.
Tom asked for a discount.,톰은 할인을 요청했습니다.
Tom asked for a discount.,톰은 값을 깎아달라고 했다.
I wish there was more I could've done.,내가 할 수 있는게 더 있었으면 좋았을 걸.
Those students are Korean.,이 학생들이 한국사람이다.
Congratulations on your face.,당신의 얼굴에 축하합니다.
She says she likes flowers.,그녀는 꽃을 좋아한다고 말했다.
Who am I currently speaking to?,지금 나 누구랑 얘기하니?
You can have mine.,너는 내 것을 가질 수 있다.
Don't treat me like that.,나를 그렇게 대하지 마.
He'll present the present in our presence.,그는 우리 앞에서 선물을 공개할꺼야.
Do what you want.,니 맘대로 하세요.
"He is strange, and I don't like strange people.","그는 이상하고, 나는 이상한 사람 싫어."
Can I stay here to eat something?,여기서 뭘 좀 먹어도 될까요?
You've been a great help to our family.,너는 우리 가족에게 정말 큰 도움이 되고 있어.
Tom was daydreaming.,톰은 몽상에 잠겨 있었다.
Tom was astonished.,톰은 깜짝 놀랐다.
This clock is broken.,이 시계가 고장났어요.
Tom picked out a gift for Mary.,탐은 메리에게 줄 선물을 골랐다.
Tom and Mary are in the same boat.,톰과 마리는 같은 배를 탔다.
Can the price be discounted?,가격을 깎을 수 있나요?
"Because my nephew was still young, they cut him some slack.","나의 사촌이 아직 어려서, 그들은 그에게 좀 더 기회를 줬다."
"Since my nephew was still young, he was let off the hook.",내 사촌은 아직 어렸기 때문에 용서 받았다.
The boys have gone north.,그 소년들은 북쪽으로 갔다.
The writers are in that house.,글쓴이들은 저 집에 있다.
This book is way more interesting than that one.,이 책이 저거보다 훨씬 흥미롭다.
Tom has something to do right now.,톰은 당장 할일이 있어.
This is difficult to believe.,이건 정말 못 믿겠다.
Get the fuck out!,여기서 썩 꺼져!
These students are Korean.,이 학생들이 한국사람이다.
I corrected even the smallest details.,나는 세부 사항들까지 수정했다.
I loved that book!,나는 그 책을 좋아했어.
I'm not a doctor.,나는 의사가 아닙니다.
What are those people doing?,그사람들이 뭐 해요?
He's my friend. Do you know him?,그는 내 친구야. 넌 그를 알고 있어?
I really appreciate all your help.,도와 주셔서 아주 고맙습니다.
What language do they speak in Korea?,한국에서 무슨 언어를 말해요?
Man is a rational animal.,인간은 이성이 있는 동물이에요.
Welcome to Tatoeba!,타토에바에 오신 것을 환영합니다!
Why have you forgotten the word?,왜 그 단어를 잊어버렸니?
There is a word with that specific function.,그러한 기능을 가진 단어가 있어요.
The river flows calmly.,강물이 잔잔히 흐릅니다.
"Because I study literature, I tend to see films from an artistic perspective.","제가 문학을 공부하는 사람이기 때문에, 영화를 볼 때에 예슬적인 측면에서 보게 됩니다."
The problem with this movie is that the violent scenes and the funny scenes are mixed together.,그 영화의 문제는 너무 빨리 폭력적인 장면과 재미있는 장면이 섞여 나온다는 것입니다.
"The reason I'm saying this movie is good is that, not only is the artistic content good, the music is too.","그 영화가 좋다고 하는 이유는, 예슬적인 측면에서 내용뿐만 아니라, 음악도 좋기 때문이에요."
The music is in balance with the structure of the movie.,음악과 영화의 구조가 조화를 이루고 있어요.
Small rural villages or islands could be peaceful even in wartime.,작은 시골마을이나 섬에는 전쟁 중에도 조용할 수도 있어요.
"It was one nation until 1993, after which it was divided.","1993년까지 한 나라였는데, 분리가 되었어요."
"As I said the last time, Wednesday was the 22nd anniversary of the fall of the Berlin Wall.","지난 번에 말했던 것처럼, 수요일은 베를린 장벽이 무너진 지 22년 되는 날이었어요."
You have to memorize this sentence.,문장을 외워야 합니다.
There is no stop between Suwon and Incheon.,수원에서 인천까지 정류장이 없어요.
He translated this piece of writing on Zen Buddhism.,그는 선불교에 대한 글을 번역하셨어요.
It seems I'll be late today too.,오늘도 조금 늦을 것 같아요.
It seems I made a mistake in the text message because I wrote it while transferring lines in the underground.,지하철을 갈아타는 중에 문자를 써서 실수한 것 같아요.
At last I finally arrived too.,저도 이제서야 도착했어요.
Happy wishing you a Thanksgiving.,즐거운 추석 되시기 바랍니다.
Thank you very much for being so willing to help me being so busy with so many things.,여러 모로 바쁘신데도 흔쾌히 도와 주셔서 감사드립니다.
"With this cool autumn wind blowing, we can feel the change of season.",선선하게 불어오는 가을바람에 계절이 변화함을 느낍니다.
"In case something is not clear, please contact us.",혹시 불분명한 점이 있을 경우 연락 주십시오.
Please check the attached file.,첨부파일을 확인해 주십시오.
You can buy the ticket from the vending machine too.,차표는 자동판매기에서도 구할 수 있습니다.
This screw is loose.,이 나사는 느슨해요.
Please read the instructions in detail.,사용설명서 자세히 읽으시요.
Help me paint the house!,집 칠하는 것을 도와줘!
You will probably succeed.,너는 아마 성공할 것이다.
"Fucking hell, what idiot dare phone me in the middle of the night?",썅 어떤 병신이 한밤중에 감히 전화를 해?
"I had not once thought about going into the sea since I came here, but at this moment, for some reason, I wanted to remove my clothes.",나는 여기 온 뒤로 한 번도 바다에 들어가고 싶다는 생각을 안 했지만 지금 이 순간에 어쩐 일인지 옷을 벗어 버리고 싶었어요.
Yuriko Himekusa committed suicide.,히메쿠사 유리코는 자살했다.
What should I do now?,지금 나는 뭘해야 하지?
"A strong draft is getting in, close the window !",황소바람이 들어오니 창문을 닫아라!
"A strong draft is getting in, close the door !",황소바람이 들어오니 문을 닫아로!
Cut me some slack.,나 좀 내버려 둬.
"If you do not have this book, you can buy it.","만약 당신에게 이 책이 없다면, 그것을 사면 됩니다."
"It's raining, so please bring your umbrella.",비가 오니까 우산을 가지고 오세요.
"Tom wanted to kiss Mary, but he didn't have the nerve to try.",탐은 메리와 뽀뽀하고 싶었지만 시도할 용기가 없었다.
Some say that Ramses II had six women and more than 100 children.,어떤 사람들은 람세스 2세는 6명의 아내와 100명 이상의 자녀가 있었다고 말한다.
Don't lie. Be honest.,거짓말 하지 마세요. 솔직해지세요.
Don't lie. Be honest.,"거짓말 하지 말고, 솔직해져 봐."
The boy throws a stone.,소년은 돌을 던졌습니다.
He got fired for slacking off at work.,그는 게으름 때문에 회사에서 짤렸다.
This sentence is fine.,이 문장은 괜찮은데.
"Since I haven't received an answer, I was wondering if maybe my mail never got delivered to you.",답장을 아직도 못 받아서 혹시 내 우편물이 너한테 배달되지 않은 건지 궁금했다.
Maybe I left it on the table.,탁자 위에 놓고 온 것 같아.
Tom didn't come and neither did Jane.,"톰도 안왔고, 제인도 안왔어."
I am not a student.,저는 학생이 아닙니다.
I forgive you.,난 널 용서한다.
Don't you lie!,거짓말 하지 마.
Don't you lie!,거짓말 하지 마세요.
I'm done watering the flowers.,꽃 물주기를 끝냈다.
Do you have a transparent folder?,투명한 폴더 가지고 있나요?
He won't let anybody sit in his armchair.,그는 아무도 그의 안락의자에 못 앉게 할 것이다.
Are you fucking stupid?,너 존나 멍청하냐?
Nobody backed up what I said.,아무도 내 말을 지지해주지 않았다.
Mary saw Tom and Conchita holding hands.,메리는 탐과 콘치타가 손잡고 있는 걸 보았다.
Burj Khalifa is currently the tallest skyscraper in the world.,부르즈 할리파는 현재 세계에서 가장 높은 고층건물이다.
Burj Khalifa is currently the tallest skyscraper in the world.,부르즈 칼리파는 현재 세계에서 가장 큰 고층건물이다.
Rake the leaves in the backyard.,뒤뜰의 낙엽을 긁어 모아라.
I can be your best friend or your worst enemy.,나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.
Why did you become a teacher?,당신은 왜 선생님이 됐어요?
It was already very late.,이미 너무 늦었어.
"Candidness and transparency, information and communication are the basis of mutual trust.",솔직하고 투명한 정보와 대화가 상호 신뢰의 기초이다.
I have to go to the toilet.,나는 화장실에 가야 합니다.
Please feel free to help yourself to anything in the fridge.,냉장고에 있는 거 아무거나 편하게 마음껏 드세요.
"If that happened, what would you do?",만약 그 일이 일어나면 너는 뭘 할꺼니?
Seriously. We're going to have to do something about this.,"진짜로, 우리가 이 문제에 대해 뭔가 해야 된다."
She's by far the tallest girl.,이제까지 온 여자 중 그녀가 가장 키가 큰 여자다.
She's by far the tallest girl.,이제까지 그녀가 가장 키가 큰 여자다.
Why am I laughing?,나 왜 웃고 있는거지?
Today is fucking cold.,오늘은 존나 춥다.
It looks like it'll rain.,비가 올 것 같아.
"Having slept well last night, I feel very fine this morning.",간밤에 잘 잤으므로 오늘 아침 기분이 좋다.
